"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"US1DESS0044","LEWES 3.9 SW, DE US","2020-06-03",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-06-04",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-06-05",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-06-06",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-06-07",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-06-08",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-06-09",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-06-10",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-06-11",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-06-12",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-06-13",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-06-14",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-06-15",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-06-16",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-06-17",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-06-18",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-06-19",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-06-20",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-06-21",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-06-22",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-06-23",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-06-24",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-06-25",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-06-26",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-06-27",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-06-28",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-06-29",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-06-30",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-07-01",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-07-02",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-07-03",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-07-04",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-07-05",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-07-06",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-07-07",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-07-08",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-07-09",,,
